３　照明,,,,,,,,,,,,,,,,,
,,,,,,,,,,計画照明器具仕様,,,制御による補正係数,,,,
階数,室名,建物用途,室用途,天井高,室の間口,室の奥行,面積,室指数,"照明器具
型式",照明器具表の記号,"消費
電力",台数,在室検知制御,タイムスケジュール制御,初期照度補正制御,昼光利用,明るさ感知制御
,,,,,,,,,,,,,廊下（減光）,,,,
,,,,,,,,間口・奥行,,,,,,減光,,VB制御 無,
,,,,,,,,の記載が,,,,,,,,,
,,,,,,,,無い場合,,,,,,,,,
,,,,[m],[m],[m],[㎡],に記入,,,[W/台],[台],,,,,
B1F,受水槽室,Office,電気・機械室（標準）,5.5,9.4,9.7,91.2,,反射笠付,,95,4,,,,,
B1F,機械室,Office,電気・機械室（標準）,5.5,,,238.5,0.917562724,反射笠付,,95,7,,,,,
B1F,機械室,Office,電気・機械室（標準）,5.5,,,238.5,0.917562724,反射笠付,,48,2,,,,,
B1F,発電機室,Office,電気・機械室（標準）,5.5,12.1,5.8,70.2,,反射笠付,,95,3,,,,,
B1F,電気室,Office,電気・機械室（高発熱）,5.5,8.4,9.5,79.8,,反射笠付,,95,4,,,,,
B1F,MDF室,Office,電気・機械室（高発熱）,5.5,2.6,8.4,21.8,,反射笠付,,95,1,,,,,
B1F,中央監視室,Office,中央監視室,4.8,6.8,12.5,85,,埋込下面ルーバー,,94,24,,,,,
B1F,清掃員控室,Office,更衣室等,2.6,5.2,4.3,22.4,,埋込下面開放,,95,4,,,,,
B1F,廊下,Office,廊下,2.4,,,80.9,0.75074239,ﾀﾞｳﾝﾗｲﾄ,,48,24,,,,,
B1F,階段室Ｎ,Office,廊下,5.5,3.2,7,22.4,,階段通路誘導灯,,48,2,,,,,
B1F,乗降ﾛﾋﾞｰ,Office,ロビー,2.4,2.6,4.3,11.2,,階段通路誘導灯,,48,1,,,,,
B1F,ＤＳ,Office,電気・機械室（標準）,5.5,1,7,7,,直付富士型,,22,2,,,,,
B1F,書庫,Office,更衣室等,2.6,3.3,6.7,22.1,,直付富士型,,95,3,,,,,
B1F,ＰＳ1,Office,電気・機械室（標準）,5.5,1.2,2.8,3.4,,直付富士型,,22,1,,,,,
B1F,倉庫1,Office,更衣室等,5.5,2.8,5.8,16.2,,直付富士型,,95,2,,,,,
B1F,倉庫2,Office,更衣室等,5.5,0,0,45.2,0.398940865,直付富士型,,95,5,,,,,
B1F,ＰＳ2,Office,電気・機械室（標準）,5.5,1.2,2.8,3.4,,直付富士型,,22,1,,,,,
B1F,便所,Office,トイレ,2.4,2.8,2.8,7.8,,ﾀﾞｳﾝﾗｲﾄ,,48,4,,,,,
B1F,便所,Office,トイレ,2.4,2.8,2.8,7.8,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
B1F,湯沸ｺｰﾅｰ,Office,湯沸室等,2.4,2.4,3.2,7.7,,埋込下面開放,,95,1,,,,,
B1F,湯沸ｺｰﾅｰ,Office,湯沸室等,2.4,2.4,3.2,7.7,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
B1F,ｼｬﾜｰ室,Office,湯沸室等,2.4,3,2.8,8.4,,ﾀﾞｳﾝﾗｲﾄ,,48,4,,,,,
B1F,更衣室,Office,更衣室等,2.6,,,12,0.591715976,埋込下面開放,,95,2,,,,,
B1F,消火ﾎﾟﾝﾌﾟ室,Office,電気・機械室（標準）,5.5,3.6,4.4,15,,直付富士型,,48,2,,,,,
B1F,倉庫3,Office,更衣室等,5.5,2.6,3.6,9.4,,直付富士型,,95,1,,,,,
B1F,階段室S,Office,廊下,5.5,3.2,7,22.4,,階段通路誘導灯,,48,2,,,,,
1F,1F事務室,Office,事務室,2.6,,,605.2,5.323867596,埋込下面ルーバー,,94,158,,,明るさセンサー,両側採光、ブラインド自動制御あり,
1F,1F事務室,Office,事務室,2.6,,,605.2,5.323867596,埋込下面ルーバー,,47,40,,,,,
1F,警備員室,Office,中央監視室,2.6,3.3,5.4,17.8,,埋込下面ルーバー,,94,4,,,,,
1F,廊下,Office,廊下,2.4,,,88.6,0.696451204,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,
1F,階段室Ｎ,Office,廊下,4,3.2,7,22.4,,階段通路誘導灯,,48,2,,,,,
1F,乗降ﾛﾋﾞｰ,Office,ロビー,2.4,2.6,4.3,11.2,,階段通路誘導灯,,48,1,,,,,
1F,ＤＳ,Office,電気・機械室（標準）,4,1,7,7,,直付富士型,,22,2,,,,,
1F,機械室1,Office,電気・機械室（標準）,4,3.2,7,22.4,,直付富士型,,48,2,,,,,
1F,ＰＳ1,Office,電気・機械室（標準）,4,1.2,2.8,3.4,,直付富士型,,22,1,,,,,
1F,男子便所,Office,トイレ,2.4,2.8,5.8,16.2,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,
1F,男子便所,Office,トイレ,2.4,2.8,5.8,16.2,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,EPS,Office,電気・機械室（標準）,4,6.1,1,6.1,,直付富士型,,22,2,,,,,
1F,ｱﾗｰﾑ弁室,Office,電気・機械室（標準）,4,1.9,1,1.9,,直付富士型,,22,1,,,,,
1F,1FEVﾎｰﾙ,Office,ロビー,2.4,11,3.2,37.4,,ﾀﾞｳﾝﾗｲﾄ,,48,12,,,,,
1F,ＰＳ2,Office,電気・機械室（標準）,4,1.2,2.8,3.4,,直付富士型,,22,1,,,,,
1F,女子便所,Office,トイレ,2.4,2.8,5.8,16.2,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,
1F,女子便所,Office,トイレ,2.4,2.8,5.8,16.2,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,多目的便所,Office,トイレ,2.4,2,2,4,,ﾀﾞｳﾝﾗｲﾄ,,48,2,,,,,
1F,多目的便所,Office,トイレ,2.4,2,2,4,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,湯沸ｺｰﾅｰ,Office,湯沸室等,2.4,2.2,3.2,7,,埋込下面開放,,48,1,,,,,
1F,湯沸ｺｰﾅｰ,Office,湯沸室等,2.4,2.2,3.2,7,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
1F,倉庫2,Office,更衣室等,2.4,,,6.6,0.318269231,直付富士型,,95,1,,,,,
1F,機械室2,Office,電気・機械室（標準）,4,3.6,7,25.2,,直付富士型,,48,2,,,,,
1F,階段室S,Office,廊下,4,3.2,7,22.4,,階段通路誘導灯,,48,2,,,,,
1F,ｴﾝﾄﾗﾝｽﾎｰﾙ,Office,ロビー,6.4,9,22.4,201.6,,ﾀﾞｳﾝﾗｲﾄ,,95,60,,,,,
1F,風除室,Office,廊下,3,4.4,3.5,15.4,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,
2F,2F会議室,Office,会議室,2.6,37,17,623,,埋込下面ルーバー,,94,160,,,,,
2F,廊下,Office,廊下,2.4,,,88.6,0.696451204,ﾀﾞｳﾝﾗｲﾄ,,48,25,,,,,
2F,階段室Ｎ,Office,廊下,4,3.2,7,22.4,,階段通路誘導灯,,48,2,,,,,
2F,乗降ﾛﾋﾞｰ,Office,ロビー,2.4,2.6,4.3,11.2,,階段通路誘導灯,,48,1,,,,,
2F,ＤＳ,Office,電気・機械室（標準）,4,1,7,7,,直付富士型,,22,2,,,,,
2F,機械室1,Office,電気・機械室（標準）,3.8,3.2,7,22.4,,直付富士型,,48,2,,,,,
2F,ＰＳ1,Office,電気・機械室（標準）,4,1.2,2.8,3.4,,直付富士型,,22,1,,,,,
2F,男子便所,Office,トイレ,2.4,2.8,5.8,16.2,,ﾀﾞｳﾝﾗｲﾄ,,48,6,,,,,
2F,男子便所,Office,トイレ,2.4,2.8,5.8,16.2,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,
