1F,PS2,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
1F,女子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
1F,多目的便所,Office,便所,2.4,2,2,4,0.41667,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,2,24,12,廊下(点滅), , , ,　,　,0.7,3133,1027.4235,2054.847,1467.7478,0.86042
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,5.5,,廊下(点滅), , , ,　,　,0.7,,235.4512,470.9024,,
1F,湯沸コーナー,Office,湯沸室等,2.4,2.2,3.2,7,0.54321,0.5,埋込下面開放,Null,48,1,6.8571,6.6,廊下(点滅), , , ,　,　,0.7,1000,163.968,327.936,450.912,0.5303
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,3.1429,,廊下(点滅), , , ,　,　,0.7,,75.152,150.304,,
1F,倉庫2,Office,更衣室,2.4,0,0,6.6,0.31827,0.5,直付富士型,Null,95,1,14.3939,6.6, , , , ,　,　,1,3133,1452.4588,2904.9176,1331.9812,1.0904
1F,機械室2,Office,機械室,4,3.6,7,25.2,0.59434,0.5,直付富士型,Null,48,2,3.8095,4.9, , , , ,　,　,1,200,93.696,187.392,241.033,0.38873
1F,階段室S,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
1F,風除室,Office,廊下,3,4.4,3.5,15.4,0.64979,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,18.7013,8, , , , ,　,　,1,3133,4403.2435,8806.487,3767.2195,1.1688
2F,2F会議室,Office,会議室,2.6,37,17,623,4.4801,1.1,埋込下面ルーバー,Null,94,120,18.1059,10.9,事(6.4m),減光, ,昼両VB有,　,　,0.67688,2169,177795.0348,161631.8498,143755.3162,1.2368
2F,2FEVホール,Office,ロビー,2.4,11,3.4,37.4,1.0822,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,48,12,15.4011,17.9, , , , ,　,　,1,3133,12329.0819,17612.9741,20470.8014,0.60228
2F,廊下,Office,廊下,2.4,0,0,88.6,0.69645,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,25,13.544,8, ,減光, , ,　,　,0.95,3133,17429.5056,34859.0112,21673.7431,0.80418
2F,階段室N,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
2F,乗降ロビー,Office,ロビー,2.4,2.6,4.3,11.2,0.67512,0.5,Null,Null,123.2,1,11,17.9, , , , ,　,　,1,3133,1883.6097,3767.2195,6130.2935,0.30726
2F,DS,Office,機械室,4,1,7,7,0.21875,0.5,直付富士型,Null,22,2,6.2857,4.9, , , , ,　,　,1,200,42.944,85.888,66.9536,0.6414
2F,機械室1,Office,機械室,3.8,3.2,7,22.4,0.57792,0.5,直付富士型,Null,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
2F,PS1,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
2F,男子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
2F,EPS,Office,電気室,4,6.1,1,6.1,0.21479,0.5,直付富士型,Null,22,2,7.2131,4.9, , , , ,　,　,1,200,42.944,85.888,58.3453,0.73603
2F,アラーム弁室,Office,機械室,4,1.9,1,1.9,0.16379,0.5,直付富士型,Null,22,1,11.5789,4.9, , , , ,　,　,1,200,21.472,42.944,18.1731,1.1815
2F,PS2,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
2F,女子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
