様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
,,南,,,OW1,15.34,,,
10F,客室7S,西,,,OW1,10.62,WNDW1,1.259712,有
10F,客室8S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,9.5108,,,
10F,客室9TW,西,,,OW1,10.62,WNDW1,1.259712,有
10F,客室10S,西,,,OW1,10.62,WNDW1,1.259712,有
10F,客室11S,西,,,OW1,10.62,WNDW1,1.259712,有
10F,客室12S,西,,,OW1,10.62,WNDW1,1.259712,有
10F,客室13S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,11.26015,,,
10F,EVホール,東,,,OW1,8.1125,WNDW1,1.26,有
11F,客室1S,東,,,OW1,10.62,WNDW1,1.259712,有
11F,客室2S,東,,,OW1,10.62,WNDW1,1.259712,有
11F,客室3S,東,,,OW1,10.62,WNDW1,1.259712,有
11F,客室4S,東,,,OW1,10.62,WNDW1,1.259712,有
11F,客室5S,東,,,OW1,10.62,WNDW1,1.259712,有
11F,客室6S,西,,,OW1,10.62,WNDW1,1.259712,有
,,南,,,OW1,15.34,,,
11F,客室7S,西,,,OW1,10.62,WNDW1,1.259712,有
11F,客室8S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,9.5108,,,
11F,客室9TW,西,,,OW1,10.62,WNDW1,1.259712,有
11F,客室10S,西,,,OW1,10.62,WNDW1,1.259712,有
11F,客室11S,西,,,OW1,10.62,WNDW1,1.259712,有
11F,客室12S,西,,,OW1,10.62,WNDW1,1.259712,有
11F,客室13S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,11.26015,,,
11F,EVホール,東,,,OW1,8.1125,WNDW1,1.26,有
12F,客室1S,東,,,OW1,10.62,WNDW1,1.259712,有
12F,客室2S,東,,,OW1,10.62,WNDW1,1.259712,有
12F,客室3S,東,,,OW1,10.62,WNDW1,1.259712,有
12F,客室4S,東,,,OW1,10.62,WNDW1,1.259712,有
12F,客室5S,東,,,OW1,10.62,WNDW1,1.259712,有
12F,客室6S,西,,,OW1,10.62,WNDW1,1.259712,有
,,南,,,OW1,15.34,,,
12F,客室7S,西,,,OW1,10.62,WNDW1,1.259712,有
12F,客室8S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,9.5108,,,
12F,客室9TW,西,,,OW1,10.62,WNDW1,1.259712,有
12F,客室10S,西,,,OW1,10.62,WNDW1,1.259712,有
12F,客室11S,西,,,OW1,10.62,WNDW1,1.259712,有
12F,客室12S,西,,,OW1,10.62,WNDW1,1.259712,有
12F,客室13S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,11.26015,,,
12F,EVホール,東,,,OW1,8.1125,WNDW1,1.26,有
13F,客室1S,東,,,OW1,10.62,WNDW1,1.259712,有
13F,客室2S,東,,,OW1,10.62,WNDW1,1.259712,有
13F,客室3S,東,,,OW1,10.62,WNDW1,1.259712,有
13F,客室4S,東,,,OW1,10.62,WNDW1,1.259712,有
13F,客室5S,東,,,OW1,10.62,WNDW1,1.259712,有
13F,客室6S,西,,,OW1,10.62,WNDW1,1.259712,有
,,南,,,OW1,15.34,,,
13F,客室7S,西,,,OW1,10.62,WNDW1,1.259712,有
13F,客室8S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,9.5108,,,
13F,客室9TW,西,,,OW1,10.62,WNDW1,1.259712,有
13F,客室10S,西,,,OW1,10.62,WNDW1,1.259712,有
13F,客室11S,西,,,OW1,10.62,WNDW1,1.259712,有
13F,客室12S,西,,,OW1,10.62,WNDW1,1.259712,有
13F,客室13S,西,,,OW1,10.62,WNDW1,1.259712,有
,,北,,,OW1,11.26015,,,
13F,EVホール,東,,,OW1,8.1125,WNDW1,1.26,有
14F,客室1S,東,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室2S,東,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室3S,東,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室4S,東,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室5S,東,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室6S,西,,,OW1,10.26,WNDW1,1.259712,有
,,南,,,OW1,14.82,,,
,,屋根,,,OR1,16.6690888,,,
14F,客室7S,西,,,OW1,10.26,WNDW1,1.259712,有
,,屋根,,,OR1,16.6690888,,,
14F,客室8S,西,,,OW1,12.3975,WNDW1,1.259712,有
,,北,,,OW1,9.1884,,,
,,屋根,,,OR1,16.6690888,,,
14F,客室スイート1,西,,,OW1,20.52,WNDW1,2.519424,有
,,北,,,OW1,10.87845,,,
,,屋根,,,OR1,47.7583782,,,
14F,客室スイート2,西,,,OW1,20.52,WNDW1,2.519424,有
,,屋根,,,OR1,47.7583782,,,
14F,EVホール,東,,,OW1,7.8375,WNDW1,1.26,有
,,屋根,,,OR1,22.25,,,
,,,,,,,,,
